id,link,domain
1r40e0r,https://www.redgifs.com/watch/hilariousspryeelelephant,www.redgifs.com
1rg3fpf,https://www.redgifs.com/ifr/splendiddecisivenoddy/?2/,www.redgifs.com
1rg5m46,https://www.redgifs.com/watch/tubbyhelplesspanther,www.redgifs.com
1rgmzbe,https://www.redgifs.com/watch/menacingproperneonredguppy,www.redgifs.com
1ri39na,https://www.redgifs.com/watch/unnaturalbountifulasiantrumpetfish,www.redgifs.com
1rngr2r,https://www.redgifs.com/watch/whoppingbonymyna,www.redgifs.com
1rrqppu,https://www.redgifs.com/watch/impossibleelaboratemeadowlark,www.redgifs.com
1rtoiok,https://www.redgifs.com/watch/uprightseveralprawn,www.redgifs.com
